customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,rfm_score_str,rfm_total,segment,segment_description
C100000,3.0,11,106184.24,5,3,3,533,11,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100001,633.0,1,17058.95,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100002,41.0,0,0.0,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100003,37.0,9,211886.86,3,3,3,333,9,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100004,549.0,2,65751.95,1,1,2,112,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100005,0.0,14,164202.22,5,4,3,543,12,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100006,97.0,6,32994.89,2,2,2,222,6,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100007,39.0,3,19413.44,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100008,277.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100009,8.0,2,36154.9,5,1,2,512,8,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100010,26.0,3,60837.41,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100011,72.0,6,74844.67,3,2,2,322,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100012,3.0,11,217881.89,5,3,3,533,11,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100013,140.0,12,175917.04,2,3,3,233,8,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100014,18.0,16,179483.7,4,4,3,443,11,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100015,57.0,73,1188974.21,3,5,5,355,13,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100016,20.0,15,266617.02,4,4,4,444,12,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100017,30.0,9,201432.86,3,3,3,333,9,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100018,170.0,12,156449.08000000002,2,3,3,233,8,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
